,input_compound,target_compound,section,test_mase,train_mase
143,cacl2,GLY,1,0.22982448985718448,0.12637100590940173
144,cacl2,MCOA,1,0.28959037479521055,0.07071796441094004
145,cacl2,LGLU,1,0.4110530334164594,0.164331297360088
146,cacl2,BA,1,0.39070127258851806,0.1451064688093774
147,cacl2,MCOAp,1,0.3491728471236535,0.05658486727491688
148,cacl2,MCOAx,1,0.41445273872824884,0.08900043548558934
149,cacl2,BAp,1,0.40651912285631286,0.11794131668227797
150,cacl2,BAx,1,0.4180051989661275,0.11274937133510451
151,cacl2,GLYp,1,0.23690855651359405,0.11660890789363682
152,cacl2,GLYx,1,0.18180038306635704,0.062189022580914396
153,cacl2,DAH,1,0.4591572167759571,0.26026036253136897
154,naoh,ACCOA,2,0.2823179736236868,0.11814938366984085
155,naoh,ACO,2,0.68248350454467,0.26539212573218596
156,naoh,ACP,2,0.4405989830348925,0.28049883037661966
157,naoh,AKG,2,0.27022884369277805,0.1139321438497359
158,naoh,BPG,2,0.9109929010436509,0.6028255223537924
159,naoh,CIT,2,0.5375482424386367,0.2366267150671126
160,naoh,DAP,2,0.20464997062841125,0.14885269346931018
161,naoh,E4P,2,0.4175243602785107,0.1874185216156166
162,naoh,F6P,2,0.24559398053330733,0.10736729765688212
163,naoh,FDP,2,0.21348478972630924,0.16214376776068604
164,naoh,FUM,2,0.2837463118144216,0.10158048961828779
165,naoh,G6P,2,0.3676802650606032,0.14667732273919387
166,naoh,GAP,2,0.21029619741532543,0.15504794286089058
167,naoh,GL6P,2,0.2848914715929872,0.12923986491430803
168,naoh,GLX,2,0.4828189805856677,0.39320206398125895
169,naoh,ICIT,2,0.7828271339662392,0.30521971017245286
170,naoh,KDPG,2,0.3473972175546513,0.22337604477877768
171,naoh,MAL,2,0.2840130121202129,0.10057077535374111
172,naoh,NAD,2,0.2377124673938707,0.11009610344221181
173,naoh,NADH,2,0.23771246739387206,0.11009610344221123
174,naoh,NADP,2,0.24789371920503478,0.11362792798515797
175,naoh,NADPH,2,0.2478937192050377,0.11362792798514987
176,naoh,OAA,2,0.22647564787940766,0.10795890427301726
177,naoh,PEP,2,0.2062559653651116,0.1020752298389331
178,naoh,PGA2,2,0.31833539036882413,0.3969703057500441
179,naoh,PGA3,2,0.43313278657090337,0.5330517192704086
180,naoh,PGN,2,0.27754659194479087,0.12897845733042806
181,naoh,PYR,2,0.2233881671151035,0.1274696811118508
182,naoh,Q,2,0.23195432144366562,0.11184633282588416
