input_compound,trace_label,dt,section,mutual_info
NaOH,301.09_0.767,-300,0,0.5584194758511782
NaOH,309.05_0.644,-300,0,0.6494144304105918
NaOH,309.05_0.794,-300,0,0.6065542007979161
NaOH,309.05_0.821,-300,0,0.3164100441248139
NaOH,316.06_0.646,-300,0,0.5931648686737914
NaOH,324.05_0.652,-300,0,0.6115104371696223
NaOH,324.05_0.803,-300,0,0.39719053334422805
NaOH,329.03_0.64,-300,0,0.44788610976482124
NaOH,329.03_0.654,-300,0,0.3114694618340703
NaOH,329.03_0.812,-300,0,0.23022622614990507
NaOH,329.03_0.821,-300,0,0.3390791796381585
NaOH,329.03_0.96,-300,0,0.11905549620083322
NaOH,339.06_0.656,-300,0,0.6343795456075272
NaOH,339.06_0.705,-300,0,0.2855965229392998
NaOH,339.06_0.8,-300,0,0.44670675245975744
NaOH,339.06_0.812,-300,0,0.40009349057195687
NaOH,339.06_0.831,-300,0,0.6435609090902958
NaOH,339.06_0.853,-300,0,0.2447047158482154
NaOH,339.06_0.874,-300,0,0.2999082538629838
NaOH,339.06_0.933,-300,0,0.24582795596683837
NaOH,354.07_0.672,-300,0,0.6394096549029942
NaOH,354.07_0.716,-300,0,0.3827065141987651
NaOH,354.07_0.835,-300,0,0.35623213040506174
NaOH,369.07_0.678,-300,0,0.6650254796100108
NaOH,369.07_0.724,-300,0,0.42877150563298727
NaOH,369.07_0.845,-300,0,0.626629344890044
NaOH,369.07_0.9,-300,0,0.28168356233230885
NaOH,369.07_0.939,-300,0,0.23669448373845592
NaOH,369.07_0.958,-300,0,0.42991493505304135
NaOH,369.07_0.991,-300,0,0.16780078794721742
NaOH,373.04_0.615,-300,0,0.307499063618621
NaOH,373.04_0.665,-300,0,0.5987287809354545
NaOH,373.04_0.704,-300,0,0.36038191661280106
NaOH,373.04_0.855,-300,0,0.4037163439166851
NaOH,375.04_0.675,-300,0,0.3869082574707985
NaOH,375.04_0.861,-300,0,0.5154989327351771
NaOH,375.04_0.913,-300,0,0.4559342050813977
NaOH,375.04_0.958,-300,0,0.3858749529558123
NaOH,375.04_0.994,-300,0,0.1258307646244008
NaOH,384.08_0.687,-300,0,0.5748929225572783
NaOH,384.08_0.735,-300,0,0.41508974922233666
NaOH,384.08_0.861,-300,0,0.3976194762845515
NaOH,399.08_0.695,-300,0,0.6200671784944678
NaOH,399.08_0.744,-300,0,0.4184256515067797
NaOH,399.08_0.863,-300,0,0.572934606895493
NaOH,399.08_0.908,-300,0,0.3854325353430954
NaOH,399.08_0.963,-300,0,0.2995459649416232
NaOH,399.08_0.996,-300,0,0.2336473627954052
NaOH,405.05_0.695,-300,0,0.4182741119433451
NaOH,405.05_0.724,-300,0,0.27738187147161053
NaOH,405.05_0.887,-300,0,0.49764548904069983
NaOH,405.05_0.917,-300,0,0.24950258829293137
NaOH,405.05_0.978,-300,0,0.371727329646272
NaOH,405.05_0.997,-300,0,0.33506771008361014
NaOH,110.01_0.526,-295,0,0.6555601274261131
NaOH,110.01_0.537,-295,0,0.5188810072834369
NaOH,110.01_0.548,-295,0,0.522675233370566
NaOH,110.01_0.556,-295,0,0.5893637892670589
NaOH,110.01_0.565,-295,0,0.6268825800590885
NaOH,117.02_0.529,-295,0,0.6840277131505741
NaOH,117.02_0.54,-295,0,0.6211704182900282
NaOH,117.02_0.555,-295,0,0.5682688136517768
NaOH,117.02_0.561,-295,0,0.5224541217949383
NaOH,124.03_0.532,-295,0,0.855847358956388
NaOH,124.03_0.558,-295,0,0.5586370309707029
NaOH,124.03_0.566,-295,0,0.4364431777546436
NaOH,124.03_0.578,-295,0,0.15678351112683808
NaOH,125.02_0.535,-295,0,0.7237810988352442
NaOH,125.02_0.549,-295,0,0.39870386730852525
NaOH,125.02_0.563,-295,0,0.44743531891890065
NaOH,125.02_0.569,-295,0,0.42014171025911073
NaOH,130.16_0.565,-295,0,0.32466240544441494
NaOH,132.03_0.541,-295,0,0.8237486134590974
NaOH,132.03_0.566,-295,0,0.5280203533119248
NaOH,132.03_0.586,-295,0,0.2152143680636489
NaOH,133.03_0.538,-295,0,0.7665455528145162
NaOH,133.03_0.566,-295,0,0.5177112638452894
NaOH,133.03_0.585,-295,0,0.1742917352491209
NaOH,138.03_0.544,-295,0,0.6070958473312276
NaOH,138.03_0.547,-295,0,0.5678333860212796
NaOH,138.03_0.57,-295,0,0.32546163392924665
NaOH,138.03_0.572,-295,0,0.31323358115945155
NaOH,139.03_0.541,-295,0,0.7169222183591004
NaOH,139.03_0.568,-295,0,0.25559125720512066
NaOH,139.03_0.586,-295,0,0.15072784983813703
NaOH,140.02_0.548,-295,0,0.6759236144414729
NaOH,140.02_0.574,-295,0,0.4189938341765318
